sample_id,idx
0,0
1,1
2,2
3,3
9949,4
11216,5
12668,6
13238,7
13447,8
13499,9
13607,10
13825,11
13849,12
13851,13
15593,14
17838,15
18141,16
19694,17
20330,18
20331,19
21398,20
21762,21
22270,22
22271,23
24073,24
26669,25
27147,26
27452,27
28651,28
28923,29
28924,30
32064,31
33709,32
36146,33
36659,34
36782,35
37037,36
37869,37
41541,38
41792,39
42626,40
44279,41
44280,42
44745,43
45313,44
46487,45
47361,46
47510,47
51306,48
53674,49
55665,50
4,51
5,52
6,53
7,54
8,55
9,56
10,57
11,58
14948,59
12,60
13,61
14,62
15,63
16,64
17,65
18,66
50618,67
19,68
20,69
21,70
22,71
23,72
9935,73
10676,74
11491,75
11736,76
11737,77
11867,78
11879,79
12024,80
12028,81
12032,82
12033,83
12217,84
13229,85
13362,86
13379,87
13626,88
13627,89
13628,90
13757,91
13916,92
14016,93
14099,94
14132,95
14133,96
14206,97
14380,98
14780,99
14837,100
14838,101
15073,102
15283,103
15285,104
15328,105
15517,106
15688,107
15692,108
15693,109
15756,110
15762,111
15949,112
16011,113
16910,114
16913,115
16914,116
16931,117
17039,118
17306,119
17323,120
17415,121
17858,122
17918,123
17983,124
18525,125
18592,126
18595,127
18735,128
18892,129
18894,130
19299,131
19398,132
20353,133
20893,134
21133,135
21478,136
21585,137
21586,138
21738,139
21837,140
21838,141
21839,142
21840,143
21902,144
21944,145
21945,146
21946,147
21948,148
21949,149
22038,150
22050,151
22172,152
22276,153
22547,154
22571,155
22733,156
23347,157
23665,158
23795,159
23979,160
23980,161
24077,162
24154,163
24155,164
25238,165
25256,166
25644,167
26179,168
26180,169
26182,170
26274,171
26324,172
26327,173
26520,174
26529,175
26576,176
26972,177
27133,178
27205,179
27212,180
27226,181
27248,182
27423,183
27593,184
27675,185
27749,186
27908,187
28097,188
28100,189
28488,190
28751,191
28777,192
28925,193
28937,194
28975,195
29429,196
29940,197
29941,198
30068,199
30083,200
30144,201
30507,202
30669,203
31059,204
31060,205
31128,206
31133,207
31145,208
31359,209
31360,210
31363,211
31400,212
31401,213
31741,214
31756,215
31781,216
31959,217
32101,218
32599,219
32709,220
32880,221
33149,222
33645,223
35022,224
35208,225
35229,226
35262,227
35412,228
35775,229
36848,230
37031,231
37151,232
37152,233
37526,234
39059,235
39147,236
39148,237
39149,238
39150,239
39151,240
39633,241
39786,242
41185,243
41683,244
41782,245
41846,246
41847,247
42084,248
42085,249
42088,250
42243,251
42298,252
42390,253
42457,254
42837,255
42841,256
42847,257
43005,258
43009,259
43021,260
43023,261
43125,262
43205,263
43282,264
43452,265
43459,266
43761,267
43937,268
43982,269
43994,270
43997,271
44002,272
44370,273
44695,274
44696,275
44698,276
44719,277
44846,278
45150,279
45178,280
45185,281
45186,282
45272,283
45302,284
45738,285
45749,286
45879,287
45911,288
45955,289
45961,290
46370,291
46371,292
46377,293
46381,294
46773,295
46775,296
46917,297
46929,298
46951,299
46956,300
46967,301
46986,302
46987,303
47032,304
47147,305
47148,306
47154,307
47166,308
47340,309
47355,310
47362,311
47489,312
47593,313
47611,314
47631,315
47632,316
47896,317
47915,318
48052,319
48056,320
48059,321
48080,322
48182,323
48183,324
48197,325
48390,326
48401,327
48458,328
48523,329
48524,330
48703,331
48753,332
48754,333
48767,334
48770,335
48783,336
48791,337
48797,338
48807,339
48889,340
48934,341
48954,342
49126,343
49156,344
49173,345
49206,346
49217,347
49224,348
49242,349
49253,350
49256,351
49259,352
49265,353
49273,354
49288,355
49326,356
49363,357
49399,358
49400,359
49602,360
49905,361
49920,362
50162,363
50175,364
50178,365
50180,366
50184,367
50327,368
50343,369
50397,370
50652,371
50658,372
50659,373
50672,374
50675,375
50775,376
50779,377
50918,378
51014,379
51017,380
51119,381
51123,382
51132,383
51134,384
51139,385
51342,386
51360,387
51363,388
51381,389
51387,390
51435,391
51583,392
51587,393
51595,394
51596,395
51614,396
51623,397
51643,398
51644,399
51661,400
51664,401
51752,402
51954,403
51958,404
52052,405
52210,406
52235,407
52268,408
52280,409
52291,410
52301,411
52303,412
52507,413
52556,414
52587,415
52591,416
52606,417
52646,418
52656,419
52700,420
52820,421
52823,422
52942,423
53084,424
53104,425
53128,426
53223,427
53229,428
53369,429
53377,430
53388,431
53397,432
53398,433
53728,434
53729,435
53733,436
53739,437
53886,438
53898,439
53958,440
54047,441
54052,442
54132,443
54139,444
54140,445
54141,446
54168,447
54275,448
54294,449
54352,450
54416,451
54420,452
54422,453
54527,454
54534,455
54642,456
54670,457
54685,458
54767,459
54793,460
55099,461
55103,462
55106,463
55112,464
55118,465
55119,466
55148,467
55163,468
55210,469
55213,470
55256,471
55288,472
55334,473
55348,474
55640,475
55786,476
55812,477
55825,478
56035,479
56211,480
56215,481
56238,482
56407,483
56445,484
56463,485
56483,486
56486,487
56705,488
56716,489
56731,490
56879,491
56887,492
56892,493
57743,494
57744,495
57746,496
57791,497
57890,498
24,499
25,500
26,501
27,502
9670,503
10891,504
11469,505
13081,506
13520,507
13720,508
13749,509
13967,510
14027,511
14203,512
14400,513
15070,514
15336,515
15526,516
16003,517
16372,518
17832,519
17844,520
17847,521
19217,522
20030,523
21052,524
22705,525
22715,526
25606,527
26516,528
26581,529
26697,530
27781,531
27812,532
28278,533
28442,534
29004,535
29206,536
29761,537
29806,538
30125,539
30211,540
30862,541
32049,542
34628,543
35512,544
35640,545
36939,546
37094,547
38970,548
39743,549
40909,550
41308,551
41710,552
41785,553
41974,554
42175,555
42610,556
42952,557
43178,558
43338,559
43385,560
43394,561
43721,562
44358,563
44567,564
45179,565
46458,566
50150,567
50329,568
50645,569
52246,570
53247,571
57435,572
57485,573
58133,574
28,575
29,576
30,577
31,578
32,579
33,580
34,581
35,582
36,583
9688,584
9758,585
14004,586
33113,587
37482,588
41095,589
37,590
38,591
39,592
40,593
41,594
42,595
43,596
44,597
45,598
46,599
47,600
48,601
49,602
50,603
51,604
52,605
53,606
54,607
55,608
56,609
57,610
58,611
59,612
9279,613
9354,614
9762,615
9766,616
10345,617
10378,618
10383,619
10410,620
10412,621
10424,622
10613,623
10860,624
11195,625
11610,626
12572,627
12586,628
12681,629
12705,630
12739,631
13475,632
13479,633
14080,634
14714,635
15107,636
15130,637
15156,638
15282,639
15344,640
15527,641
15666,642
15735,643
15759,644
15764,645
16317,646
16334,647
17338,648
17382,649
17708,650
17743,651
18060,652
18240,653
18484,654
18864,655
18891,656
20209,657
20279,658
20337,659
20381,660
20533,661
20548,662
20664,663
21112,664
21370,665
21372,666
21545,667
21547,668
21689,669
21790,670
21791,671
21792,672
22014,673
22051,674
22055,675
22309,676
22500,677
22552,678
22579,679
22708,680
22709,681
22711,682
22714,683
22717,684
22718,685
22720,686
22721,687
22754,688
22808,689
23069,690
23116,691
23117,692
23118,693
23119,694
23121,695
23122,696
23123,697
23125,698
23126,699
23128,700
23176,701
23178,702
23388,703
23790,704
24075,705
25130,706
25177,707
25373,708
25376,709
25832,710
25837,711
26135,712
26215,713
26718,714
26724,715
27130,716
27668,717
27873,718
27893,719
28043,720
28172,721
28279,722
28328,723
28359,724
28587,725
28735,726
28746,727
29044,728
29221,729
29264,730
29288,731
29346,732
29354,733
29437,734
29606,735
29661,736
29900,737
29922,738
30810,739
31172,740
31260,741
31486,742
31759,743
31787,744
32596,745
32612,746
32754,747
32756,748
32874,749
33602,750
34244,751
34278,752
34281,753
34284,754
34299,755
34725,756
34726,757
34856,758
34868,759
34882,760
34917,761
35013,762
35061,763
35214,764
35228,765
35486,766
35507,767
35519,768
35557,769
35666,770
35764,771
35919,772
36080,773
36165,774
36323,775
36912,776
37075,777
37112,778
37324,779
37326,780
37425,781
37465,782
37509,783
38432,784
38658,785
38728,786
38964,787
38965,788
38969,789
39237,790
39238,791
39336,792
39354,793
39758,794
39836,795
39888,796
39904,797
40058,798
40522,799
40656,800
40660,801
40795,802
40907,803
41162,804
41263,805
41665,806
42011,807
42065,808
42067,809
42170,810
42230,811
42232,812
42236,813
42327,814
42340,815
42624,816
42664,817
42679,818
42701,819
42752,820
42961,821
43019,822
43851,823
44087,824
44089,825
44407,826
44507,827
44652,828
44658,829
44661,830
44667,831
44668,832
44671,833
44672,834
44681,835
44778,836
44779,837
44780,838
44781,839
44982,840
45130,841
45908,842
46037,843
46457,844
47805,845
47822,846
48011,847
48015,848
48016,849
48017,850
48022,851
48208,852
48215,853
48719,854
48877,855
49133,856
49134,857
49135,858
49138,859
49139,860
49140,861
49141,862
49239,863
49489,864
49545,865
49546,866
49552,867
49553,868
49555,869
49556,870
49557,871
